event,occurrence,event_label,COORDINATOR,BATCH,PRODUCTION,SAFETY
BATCH_ACCEPTED,1,after_valid_B2_acceptance,14990.7398,10174.9304,10675.7631,10198.306799999998
LOADER_DONE,1,after_first_bottle_admitted,9616.6409,9150.3533,9639.3948,9151.855899999999
CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,8615.9656,8127.862800000001,8622.5075,8132.570600000001
TABLE_ALIGNED,1,after_first_confirmed_rotation,8083.4537,7610.1455,8107.2953,7610.206299999999
FILLER_DONE,1,after_first_bottle_fill,7079.5021,6592.6733,7086.2018,6592.211799999999
LID_DONE,1,after_first_bottle_lid,4970.06735,4979.090499999999,4970.7524,4971.7466
CAPPER_DONE,1,after_first_bottle_cap,3911.3397999999997,3424.7066999999997,3916.6048999999994,3425.5429999999997
LABELLER_DONE,1,after_first_bottle_label,1701.6813999999995,1206.6836000000003,1702.0902999999998,1209.3745999999992
UNLOADER_DONE,1,after_first_bottle_completion,578.6275500000002,503.78139999999985,582.3844000000008,95.76080000000002
LOADER_DONE,2,after_second_bottle_admitted,7083.4296,6598.8814999999995,7081.4992999999995,6594.8451000000005
CONVEYOR_DONE,2,after_second_bottle_transfer_to_rotary,6056.674299999999,5562.145200000001,6063.4301000000005,5566.1058
FILLER_DONE,2,after_second_bottle_fill,4516.96835,4022.1507,4517.0223,4021.6111000000005
TABLE_ALIGNED,3,after_third_confirmed_rotation,4000.8527500000005,3506.1843999999996,4005.2152499999997,3506.3358
TABLE_ALIGNED,5,after_fifth_confirmed_rotation,1771.3707999999988,1270.6110000000008,1776.9213,1272.4193999999989
