architecture,target,event,occurrence,event_label,attempted_runs,event_matched_runs,actual_injections,not_reached_runs,matched_but_not_triggered_runs,drained_after_injection,faults_after_injection,no_result_runs,halt_recovered_runs,failure_probability_given_injection,fault_reasons,median_event_match_mission_ms,median_halt_start_after_event_ms,requested_duration_ms,median_actual_down_ms,median_drained_mission_ms,median_drained_completion_delta_ms,median_impact_ratio_drained,baseline_successes,baseline_attempts,baseline_failures,baseline_success_rate,baseline_median_ms,baseline_mean_ms,baseline_stdev_ms,baseline_mad_ms,baseline_noise_band_ms,drained_impact_exceeds_noise_band
CENTRALISED,COORDINATOR,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,20,0,0,20,0,0,20,0.0,,0.07375000000000001,0.0,500,500.8216,14990.8549,1162.5029000000013,2.3211916179334144,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,LOADER_DONE,1,after_first_bottle_admitted,20,20,20,0,0,19,1,0,20,0.05,TABLE_ALIGNMENT_TIMEOUT:1,1039.4795,0.0,500,500.63485000000003,10653.4159,-3174.936099999999,-6.341819991157226,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,20,0,0,17,3,0,20,0.15,TABLE_ALIGNMENT_TIMEOUT:3,2058.5281999999997,0.0,500,501.03175,10673.1288,-3155.2231999999985,-6.297451608605639,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,16,16,4,0,16,0,0,16,0.0,,2572.31405,0.0,500,501.01014999999995,10657.0475,-3171.3044999999993,-6.329820862910661,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,FILLER_DONE,1,after_first_bottle_fill,20,16,16,4,0,12,4,0,16,0.25,TABLE_ALIGNMENT_TIMEOUT:4,3594.9377000000004,0.0,500,500.73900000000003,10674.297050000001,-3154.054949999999,-6.298800273196213,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,LID_DONE,1,after_first_bottle_lid,20,16,16,4,0,12,4,0,16,0.25,TABLE_ALIGNMENT_TIMEOUT:4,5204.819149999999,0.0,500,500.6087,10170.0449,-3658.307099999999,-7.307717784369307,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,CAPPER_DONE,1,after_first_bottle_cap,20,17,17,3,0,17,0,0,17,0.0,,6762.2764,0.0,500,500.7519,10674.8972,-3153.4547999999995,-6.297439510464163,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,LABELLER_DONE,1,after_first_bottle_label,20,17,17,3,0,17,0,0,17,0.0,,8986.4265,0.0,500,500.8927,10687.8352,-3140.5167999999994,-6.269839428684026,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,UNLOADER_DONE,1,after_first_bottle_completion,20,16,16,4,0,16,0,0,16,0.0,,10090.8335,0.0,500,500.7659,10671.2102,-3157.1417999999994,-6.304626173627237,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,LOADER_DONE,2,after_second_bottle_admitted,20,17,17,3,0,17,0,0,17,0.0,,3593.0987,0.0,500,500.9035,10677.0719,-3151.280099999998,-6.291192016027035,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,CONVEYOR_DONE,2,after_second_bottle_transfer_to_rotary,20,19,19,1,0,17,2,0,19,0.10526315789473684,TABLE_ALIGNMENT_TIMEOUT:2,4620.0936,0.0,500,500.8972,10681.4064,-3146.945599999999,-6.2826176708514225,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,FILLER_DONE,2,after_second_bottle_fill,20,19,19,1,0,18,1,0,19,0.05263157894736842,TABLE_ALIGNMENT_TIMEOUT:1,6168.0107,0.0,500,500.7709,10684.908599999999,-3143.443399999999,-6.277208599780857,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,TABLE_ALIGNED,3,after_third_confirmed_rotation,20,20,20,0,0,20,0,0,20,0.0,,6682.2384999999995,0.0,500,500.6723,10683.89235,-3144.459649999999,-6.280474573887948,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
CENTRALISED,COORDINATOR,TABLE_ALIGNED,5,after_fifth_confirmed_rotation,20,15,15,5,0,15,0,0,15,0.0,,8913.4915,0.0,500,500.567,10684.7521,-3143.5998999999993,-6.280078191331029,10,11,1,0.9090909090909091,13828.351999999999,12805.12408,1872.741687385471,478.1613500000003,3745.483374770942,0
DECOMPOSED_3CD,BATCH,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,20,0,0,19,1,0,20,0.05,TABLE_ALIGNMENT_TIMEOUT:1,0.0723,0.0,500,500.58934999999997,10174.9777,-4171.003800000002,-8.332186451829234,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,LOADER_DONE,1,after_first_bottle_admitted,20,20,20,0,0,19,1,0,20,0.05,TABLE_ALIGNMENT_TIMEOUT:1,1037.24385,0.0,500,500.98245,10187.1909,-4158.790600000002,-8.301270034509198,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,20,0,0,17,3,0,20,0.15,TABLE_ALIGNMENT_TIMEOUT:3,2060.24325,0.0,500,500.6574,10188.3741,-4157.607400000001,-8.304296311210022,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,19,19,1,0,17,2,0,19,0.10526315789473684,TABLE_ALIGNMENT_TIMEOUT:2,2575.075,0.0,500,500.735,10186.927,-4159.054500000002,-8.305899327987861,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,FILLER_DONE,1,after_first_bottle_fill,20,19,19,1,0,18,1,0,19,0.05263157894736842,TABLE_ALIGNMENT_TIMEOUT:1,3602.1267,0.0,500,500.8553,10192.6659,-4153.315600000001,-8.29244614163013,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,LID_DONE,1,after_first_bottle_lid,20,18,18,2,0,15,3,0,18,0.16666666666666666,TABLE_ALIGNMENT_TIMEOUT:3,5207.6243,0.0,500,501.05275,10184.332,-4161.649500000001,-8.305811114698006,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,CAPPER_DONE,1,after_first_bottle_cap,20,18,18,2,0,17,1,0,18,0.05555555555555555,TABLE_ALIGNMENT_TIMEOUT:1,6764.90815,0.0,500,501.1893,10185.3142,-4160.667300000001,-8.301588441732497,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,LABELLER_DONE,1,after_first_bottle_label,20,15,15,5,0,15,0,0,15,0.0,,8980.7991,0.0,500,500.8404,10187.1025,-4158.879000000001,-8.303800971327394,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,UNLOADER_DONE,1,after_first_bottle_completion,20,17,17,3,0,17,0,0,17,0.0,,10086.6919,0.0,500,500.5752,10590.9294,-3755.052100000001,-7.501474503730909,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,LOADER_DONE,2,after_second_bottle_admitted,20,18,18,2,0,15,3,0,18,0.16666666666666666,TABLE_ALIGNMENT_TIMEOUT:3,3592.1969,0.0,500,500.7514,10190.9824,-4154.999100000001,-8.297528673908852,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,CONVEYOR_DONE,2,after_second_bottle_transfer_to_rotary,20,19,19,1,0,19,0,0,19,0.0,,4621.2341,0.0,500,500.538,10186.5733,-4159.408200000002,-8.309874974527412,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,FILLER_DONE,2,after_second_bottle_fill,20,18,18,2,0,18,0,0,18,0.0,,6166.8893499999995,0.0,500,500.87390000000005,10189.485850000001,-4156.495650000002,-8.298487204064738,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,TABLE_ALIGNED,3,after_third_confirmed_rotation,20,18,18,2,0,18,0,0,18,0.0,,6683.9662499999995,0.0,500,500.58315,10190.659899999999,-4155.321600000002,-8.30096178826635,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,TABLE_ALIGNED,5,after_fifth_confirmed_rotation,20,16,16,4,0,16,0,0,16,0.0,,8908.8613,0.0,500,500.80145,10179.472300000001,-4166.509200000001,-8.319682780471185,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
