architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10203.034,,0,6489,6489,6489,11.676847,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17065.0024,,0,11362,11362,11362,21.111766,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10186.1916,,0,6700,6700,6700,11.703709,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17070.9812,,0,11432,11432,11432,20.61583,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10163.1237,,0,6845,6845,6845,11.628343,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,FAULT,ARCHIVE_FAILED,False,-1.0,False,False,-1.0,0,0.0,10110.6049,,0,7333,7333,7333,14.194851,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10165.015,,0,7224,7224,7224,11.771188,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,NONE,BASELINE,,,8,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10184.2315,,0,7108,7108,7108,12.348137,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_08.log
DECOMPOSED_3CD,NONE,BASELINE,,,9,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,23403.2994,,0,16809,16809,16809,27.26419,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_09.log
DECOMPOSED_3CD,NONE,BASELINE,,,10,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10153.7155,,0,7437,7437,7437,12.35128,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_10.log
DECOMPOSED_3CD,NONE,BASELINE,,,11,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10193.625,,0,6984,6984,6984,11.875067,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_11.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_11.log
DECOMPOSED_3CD,NONE,BASELINE,,,12,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10188.5082,,0,6691,6691,6691,12.327689,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_12.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_12.log
DECOMPOSED_3CD,NONE,BASELINE,,,13,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10191.9102,,0,6857,6857,6857,11.804963,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_13.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_13.log
DECOMPOSED_3CD,NONE,BASELINE,,,14,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10180.2317,,0,6849,6849,6849,12.327801,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_14.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260915_235506_batch\runs\baseline_decomposed_3cd_14.log
