architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10199.4542,,0,6737,6737,6737,11.782323,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10188.0529,,0,6725,6725,6725,12.360138,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17069.2876,,0,11308,11308,11308,20.142906,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10213.5988,,0,6659,6659,6659,12.390519,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,21782.4811,,0,14202,14202,14202,24.575651,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10170.9017,,0,6677,6677,6677,12.302716,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10187.1972,,0,6736,6736,6736,11.813745,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,NONE,BASELINE,,,8,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10186.7282,,0,6795,6795,6795,12.318118,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_08.log
DECOMPOSED_3CD,NONE,BASELINE,,,9,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10189.7196,,0,6776,6776,6776,11.849399,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_09.log
DECOMPOSED_3CD,NONE,BASELINE,,,10,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10182.0809,,0,6659,6659,6659,12.333854,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_10.log
DECOMPOSED_3CD,NONE,BASELINE,,,11,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10194.3714,,0,6727,6727,6727,11.797239,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_11.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_11.log
DECOMPOSED_3CD,NONE,BASELINE,,,12,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10203.398,,0,6618,6618,6618,12.337601,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_12.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\baseline_decomposed_3cd_12.log
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,1,DRAINED,DRAINED,NONE,True,2063.4703,True,True,0.0,500,500.7887,10688.1694,499.2831500000011,0,7024,7024,7024,12.299896,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\production_conveyor_done_01_rep01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\production_conveyor_done_01_rep01.log
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,2,DRAINED,DRAINED,NONE,True,2063.3241,True,True,0.0,500,502.0222,10692.4622,503.5759500000004,0,7054,7054,7054,12.84111,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\production_conveyor_done_01_rep02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_000334_production\runs\production_conveyor_done_01_rep02.log
