architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,23402.5774,,0,15632,15632,15632,27.54607,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17077.1339,,0,11153,11153,11153,22.82817,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10244.2165,,0,6785,6785,6785,11.904393,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10192.8286,,0,6668,6668,6668,12.394735,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17064.8166,,0,11129,11129,11129,20.240268,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10176.9053,,0,6736,6736,6736,12.419904,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10206.6477,,0,6739,6739,6739,11.893955,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,NONE,BASELINE,,,8,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17069.8752,,0,11395,11395,11395,21.876845,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_08.log
DECOMPOSED_3CD,NONE,BASELINE,,,9,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14337.6736,,0,2282,2282,2282,16.157369,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_09.log
DECOMPOSED_3CD,NONE,BASELINE,,,10,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14294.6575,,0,2352,2352,2352,16.616917,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_10.log
DECOMPOSED_3CD,NONE,BASELINE,,,11,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14349.6964,,0,2227,2227,2227,16.261579,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_11.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_11.log
DECOMPOSED_3CD,NONE,BASELINE,,,12,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,13086.8534,,0,2965,2965,2965,15.386219,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_12.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_12.log
DECOMPOSED_3CD,NONE,BASELINE,,,13,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14310.2203,,0,2232,2232,2232,16.251415,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_13.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_13.log
DECOMPOSED_3CD,NONE,BASELINE,,,14,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14328.082,,0,2208,2208,2208,16.588788,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_14.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\baseline_decomposed_3cd_14.log
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,1,DRAINED,DRAINED,NONE,True,2063.8996,True,True,0.0,500,503.2703,14896.5023,1205.7468499999995,0,2311,2311,2311,16.773536,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\production_conveyor_done_01_rep01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\production_conveyor_done_01_rep01.log
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,2,FAULT,FAULT,TABLE_ALIGNMENT_TIMEOUT,True,2069.0953,True,True,0.0,500,514.6909,17660.097,,0,2438,2438,2438,23.161355,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\production_conveyor_done_01_rep02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\redundant_production_conveyor1_runs\production_conveyor_done_01_rep02.log
