architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10191.3157,,0,6522,6522,6522,11.914344,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10152.4094,,0,6564,6564,6564,12.366877,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10151.1904,,0,6609,6609,6609,11.752038,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10161.9822,,0,6608,6608,6608,12.339097,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10174.1512,,0,6631,6631,6631,11.749038,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10151.389,,0,6508,6508,6508,12.372802,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10165.5474,,0,6444,6444,6444,11.857723,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,NONE,BASELINE,,,8,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10175.7788,,0,6488,6488,6488,12.391286,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_08.log
DECOMPOSED_3CD,NONE,BASELINE,,,9,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10175.7446,,0,6552,6552,6552,11.788219,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_09.log
DECOMPOSED_3CD,NONE,BASELINE,,,10,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10158.0268,,0,6587,6587,6587,12.349457,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\reliable_production_conveyor1_runs\baseline_decomposed_3cd_10.log
