architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,23421.046,,0,15622,15622,15622,26.47751,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,27591.4339,,0,12240,12240,12240,33.21106,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,13851.948,,0,2100,2100,2100,15.75582,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,FAULT,TIMEOUT_FILLER,False,-1.0,False,False,-1.0,0,0.0,930746.1859,,0,3429,3429,3429,936.194841,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10214.6569,,0,6598,6598,6598,11.943134,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,19629.882,,0,13014,13014,13014,23.232497,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10173.7669,,0,7161,7161,7161,11.872904,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,1,DRAINED,DRAINED,NONE,True,2056.193,True,True,0.0,500,500.7999,10668.3007,453.6437999999998,0,7399,7399,7399,12.819123,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\production_conveyor_done_01_rep01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\production_conveyor_done_01_rep01.log
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,2,FAULT,FAULT,TABLE_ALIGNMENT_TIMEOUT,True,2060.2636,True,True,0.0,500,501.928,17570.3991,,0,12199,12199,12199,21.060849,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\production_conveyor_done_01_rep02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\production_conveyor_done_01_rep02.log
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,3,DRAINED,DRAINED,NONE,True,2054.8141,True,True,0.0,500,502.1866,10679.2938,464.6368999999995,0,7475,7475,7475,12.805881,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\production_conveyor_done_01_rep03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_debug_runs\production_conveyor_done_01_rep03.log
