target,architecture,event,occurrence,event_label,attempted_runs,event_matched_runs,event_reachability,actual_injections,injection_rate_per_attempt,matched_not_triggered_runs,not_reached_runs,pre_event_failures,pre_event_failure_rate_per_attempt,no_result_runs,drained_after_injection,faults_after_injection,mission_success_given_injection,mission_success_ci95_low,mission_success_ci95_high,mission_failure_given_injection,mission_failure_ci95_low,mission_failure_ci95_high,halt_recovered_runs,halt_recovery_rate_given_injection,injected_fault_reasons,pre_event_failure_reasons,event_time_median_ms,event_time_q1_ms,event_time_q3_ms,halt_start_lag_median_ms,halt_start_lag_p95_ms,actual_down_median_ms,actual_down_p05_ms,actual_down_p95_ms,down_error_median_ms,down_abs_error_p95_ms,drained_mission_median_ms,fault_terminal_mission_median_ms,drained_remaining_time_median_ms,drained_remaining_time_q1_ms,drained_remaining_time_q3_ms,fault_remaining_time_median_ms
COORDINATOR,CENTRALISED,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,1.0,20,1.0,0,0,0,0.0,0,20,0,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281938,20,1.0,,,0.07375000000000001,0.06040000000000001,0.09875,0.0,0.0,500.8216,500.020575,501.484255,0.8215999999999894,1.4842550000000247,14990.8549,,14990.7398,14980.629924999997,15008.950675,
BATCH,DECOMPOSED_3CD,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,1.0,20,1.0,0,0,0,0.0,0,19,1,0.95,0.763868806553258,0.9911185511992047,0.05,0.008881448800795402,0.23613119344674205,20,1.0,TABLE_ALIGNMENT_TIMEOUT:1,,0.0723,0.067925,0.07825,0.0,0.0,500.58934999999997,500.06830499999995,501.96074999999996,0.589349999999996,1.9607499999999733,10174.9777,17070.6035,10174.9304,10171.49895,10184.58865,17070.528400000003
PRODUCTION,DECOMPOSED_3CD,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,1.0,20,1.0,0,0,0,0.0,0,15,5,0.75,0.531299122381256,0.8881382985923343,0.25,0.11186170140766569,0.468700877618744,20,1.0,TABLE_ALIGNMENT_TIMEOUT:5,,0.0683,0.0562,0.07995,0.0,0.0,500.66875000000005,500.05729,501.93394500000005,0.668750000000017,1.9339450000000227,10675.8425,17560.3228,10675.7631,10663.4149,10681.59405,17560.2556
SAFETY,DECOMPOSED_3CD,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,1.0,20,1.0,0,0,0,0.0,0,19,1,0.95,0.763868806553258,0.9911185511992047,0.05,0.008881448800795402,0.23613119344674205,20,1.0,TABLE_ALIGNMENT_TIMEOUT:1,,0.06745,0.046349999999999995,0.073075,0.0,0.0,500.7483,500.15743,501.728,0.7483000000000004,1.7279999999999747,10198.3486,17068.6329,10198.306799999998,10188.515949999999,10204.107849999999,17068.5674
COORDINATOR,CENTRALISED,LOADER_DONE,1,after_first_bottle_admitted,20,20,1.0,20,1.0,0,0,0,0.0,0,19,1,0.95,0.763868806553258,0.9911185511992047,0.05,0.008881448800795402,0.23613119344674205,20,1.0,TABLE_ALIGNMENT_TIMEOUT:1,,1039.4795,1035.648425,1041.5036249999998,0.0,0.0,500.63485000000003,500.03555,501.64023499999996,0.6348500000000001,1.6402349999999812,10653.4159,26579.4517,9616.6409,9613.7379,9644.4178,25535.882800000003
BATCH,DECOMPOSED_3CD,LOADER_DONE,1,after_first_bottle_admitted,20,20,1.0,20,1.0,0,0,0,0.0,0,19,1,0.95,0.763868806553258,0.9911185511992047,0.05,0.008881448800795402,0.23613119344674205,20,1.0,TABLE_ALIGNMENT_TIMEOUT:1,,1037.24385,1035.86205,1038.36645,0.0,0.0,500.98245,500.1363,501.50691,0.98245,1.5069100000000193,10187.1909,17072.4748,9150.3533,9146.1309,9160.58975,16035.678
PRODUCTION,DECOMPOSED_3CD,LOADER_DONE,1,after_first_bottle_admitted,20,20,1.0,20,1.0,0,0,0,0.0,0,14,6,0.7,0.4810271816464765,0.8545227551323956,0.3,0.1454772448676043,0.5189728183535235,20,1.0,TABLE_ALIGNMENT_TIMEOUT:6,,1035.81395,1034.00945,1037.16925,0.0,0.0,500.8603,500.38722,501.835495,0.8602999999999952,1.835494999999986,10676.4529,17569.5003,9639.3948,9633.269375,9645.0162,16532.42825
SAFETY,DECOMPOSED_3CD,LOADER_DONE,1,after_first_bottle_admitted,20,20,1.0,20,1.0,0,0,0,0.0,0,16,4,0.8,0.5839825677481065,0.9193423374202019,0.2,0.08065766257979809,0.4160174322518936,20,1.0,TABLE_ALIGNMENT_TIMEOUT:4,,1035.5399499999999,1034.815425,1037.069125,0.0,0.0,500.6343,500.11471500000005,501.77047500000003,0.6342999999999961,1.7704750000000247,10187.52105,18349.4842,9151.855899999999,9147.719874999999,9158.351375,17312.728349999998
COORDINATOR,CENTRALISED,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,1.0,20,1.0,0,0,0,0.0,0,17,3,0.85,0.6395811352592431,0.9476312541037835,0.15,0.052368745896216595,0.36041886474075696,20,1.0,TABLE_ALIGNMENT_TIMEOUT:3,,2058.5281999999997,2056.5287,2061.4818750000004,0.0,0.0,501.03175,500.03202500000003,501.93157,1.0317499999999882,1.9315700000000164,10673.1288,17565.6633,8615.9656,8606.3839,8623.878700000001,15505.2353
BATCH,DECOMPOSED_3CD,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,1.0,20,1.0,0,0,0,0.0,0,17,3,0.85,0.6395811352592431,0.9476312541037835,0.15,0.052368745896216595,0.36041886474075696,20,1.0,TABLE_ALIGNMENT_TIMEOUT:3,,2060.24325,2058.433825,2062.4447,0.0,0.0,500.6574,500.18032,501.11311,0.6573999999999955,1.1131100000000205,10188.3741,17069.1278,8127.862800000001,8121.6426,8132.2717,15010.476700000001
PRODUCTION,DECOMPOSED_3CD,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,1.0,20,1.0,0,0,0,0.0,0,13,7,0.65,0.43285427668523624,0.818808175898918,0.35,0.18119182410108206,0.5671457233147638,20,1.0,TABLE_ALIGNMENT_TIMEOUT:7,,2060.7045,2058.1272499999995,2063.810375,0.0,0.0,500.72785,500.08516499999996,501.98587000000003,0.7278500000000179,1.9858700000000027,10683.3896,17568.005,8622.5075,8616.6978,8633.238000000001,15507.648299999999
SAFETY,DECOMPOSED_3CD,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,1.0,20,1.0,0,0,0,0.0,0,17,3,0.85,0.6395811352592431,0.9476312541037835,0.15,0.052368745896216595,0.36041886474075696,20,1.0,TABLE_ALIGNMENT_TIMEOUT:3,,2057.0134,2055.6524,2059.362175,0.0,0.0,500.64914999999996,500.06242499999996,501.469445,0.6491499999999917,1.4694450000000192,10186.8957,17064.5902,8132.570600000001,8120.673499999999,8137.312,15009.2416
COORDINATOR,CENTRALISED,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,16,0.8,16,0.8,0,4,4,0.2,0,16,0,1.0,0.8063923194655637,1.0,0.0,0.0,0.1936076805344365,16,1.0,,TABLE_ALIGNMENT_TIMEOUT:4,2572.31405,2570.2486499999995,2574.7676,0.0,0.0,501.01014999999995,500.108075,502.009275,1.0101499999999817,2.0092750000000024,10657.0475,,8083.4537,8075.761225,8097.1908,
BATCH,DECOMPOSED_3CD,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,19,0.95,19,0.95,0,1,1,0.05,0,17,2,0.8947368421052632,0.6860591728889099,0.9706414397011299,0.10526315789473684,0.02935856029887013,0.31394082711109006,19,1.0,TABLE_ALIGNMENT_TIMEOUT:2,TABLE_ALIGNMENT_TIMEOUT:1,2575.075,2573.1677,2578.0281,0.0,0.0,500.735,500.00849,501.11695,0.7350000000000136,1.1169500000000134,10186.927,21516.702250000002,7610.1455,7605.7426,7620.2637,18946.040699999998
PRODUCTION,DECOMPOSED_3CD,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,19,0.95,19,0.95,0,1,1,0.05,0,19,0,1.0,0.8318207759473837,1.0,0.0,0.0,0.16817922405261626,19,1.0,,TABLE_ALIGNMENT_TIMEOUT:1,2574.7669,2572.6462,2577.08325,0.0,0.0,500.5365,500.0593,501.73726,0.5364999999999895,1.7372600000000085,10681.7437,,8107.2953,8104.54165,8117.8326,
SAFETY,DECOMPOSED_3CD,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,19,0.95,19,0.95,0,1,1,0.05,0,19,0,1.0,0.8318207759473837,1.0,0.0,0.0,0.16817922405261626,19,1.0,,TABLE_ALIGNMENT_TIMEOUT:1,2574.1423,2572.5691500000003,2575.0962,0.0,0.0,500.7645,500.11752,501.42302,0.7644999999999982,1.4230200000000124,10185.457,,7610.206299999999,7605.2137,7617.023499999999,
COORDINATOR,CENTRALISED,FILLER_DONE,1,after_first_bottle_fill,20,16,0.8,16,0.8,0,4,4,0.2,0,12,4,0.75,0.5050168346449122,0.8981793250878696,0.25,0.10182067491213048,0.49498316535508774,16,1.0,TABLE_ALIGNMENT_TIMEOUT:4,TABLE_ALIGNMENT_TIMEOUT:4,3594.9377000000004,3592.5955,3598.3553,0.0,0.0,500.73900000000003,500.156725,501.849175,0.7390000000000043,1.8491749999999882,10674.297050000001,21970.7528,7079.5021,7056.214,7085.3333,18376.6089
BATCH,DECOMPOSED_3CD,FILLER_DONE,1,after_first_bottle_fill,20,19,0.95,19,0.95,0,1,1,0.05,0,18,1,0.9473684210526315,0.753612688331012,0.9906480059376995,0.05263157894736842,0.009351994062300362,0.24638731166898786,19,1.0,TABLE_ALIGNMENT_TIMEOUT:1,TABLE_ALIGNMENT_TIMEOUT:1,3602.1267,3598.54065,3604.89545,0.0,0.0,500.8553,500.17118999999997,501.77624000000003,0.8552999999999997,1.7762399999999896,10192.6659,19627.3845,6592.6733,6583.69835,6599.2155,16032.3142
PRODUCTION,DECOMPOSED_3CD,FILLER_DONE,1,after_first_bottle_fill,20,15,0.75,15,0.75,0,5,5,0.25,0,14,1,0.9333333333333333,0.7018347012621998,0.9881331045067315,0.06666666666666667,0.011866895493268553,0.2981652987378003,15,1.0,TABLE_ALIGNMENT_TIMEOUT:1,TABLE_ALIGNMENT_TIMEOUT:5,3600.3662,3596.5422,3602.9852499999997,0.0,0.0,500.5721,500.09667,501.50185999999997,0.5720999999999776,1.5018599999999873,10684.6896,22284.9037,7086.2018,7078.252200000001,7091.47905,18680.1933
SAFETY,DECOMPOSED_3CD,FILLER_DONE,1,after_first_bottle_fill,20,18,0.9,18,0.9,0,2,2,0.1,0,17,1,0.9444444444444444,0.7424269921812741,0.990124809021697,0.05555555555555555,0.009875190978303097,0.25757300781872594,18,1.0,TABLE_ALIGNMENT_TIMEOUT:1,TABLE_ALIGNMENT_TIMEOUT:2,3601.0280000000002,3595.143775,3602.1236,0.0,0.0,500.79904999999997,500.30116499999997,501.630905,0.799049999999994,1.6309050000000183,10188.0785,19627.7793,6592.211799999999,6583.3596,6597.623799999999,16033.7676
