event,occurrence,event_label,COORDINATOR_event_time_median_ms,BATCH_event_time_median_ms,PRODUCTION_event_time_median_ms,SAFETY_event_time_median_ms,cross_target_event_time_min_ms,cross_target_event_time_max_ms,cross_target_event_time_range_ms
BATCH_ACCEPTED,1,after_valid_B2_acceptance,0.07375000000000001,0.0723,0.0683,0.06745,0.06745,0.07375000000000001,0.006300000000000014
LOADER_DONE,1,after_first_bottle_admitted,1039.4795,1037.24385,1035.81395,1035.5399499999999,1035.5399499999999,1039.4795,3.939550000000054
CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,2058.5281999999997,2060.24325,2060.7045,2057.0134,2057.0134,2060.7045,3.691100000000006
TABLE_ALIGNED,1,after_first_confirmed_rotation,2572.31405,2575.075,2574.7669,2574.1423,2572.31405,2575.075,2.760949999999866
FILLER_DONE,1,after_first_bottle_fill,3594.9377000000004,3602.1267,3600.3662,3601.0280000000002,3594.9377000000004,3602.1267,7.188999999999396
LID_DONE,1,after_first_bottle_lid,5204.819149999999,5207.6243,5211.9688,5209.4102,5204.819149999999,5211.9688,7.1496500000002925
CAPPER_DONE,1,after_first_bottle_cap,6762.2764,6764.90815,6766.7293,6767.7351,6762.2764,6767.7351,5.458700000000135
LABELLER_DONE,1,after_first_bottle_label,8986.4265,8980.7991,8976.6338,8975.7205,8975.7205,8986.4265,10.706000000000131
UNLOADER_DONE,1,after_first_bottle_completion,10090.8335,10086.6919,10085.36,10095.287,10085.36,10095.287,9.92699999999968
LOADER_DONE,2,after_second_bottle_admitted,3593.0987,3592.1969,3592.0176,3590.4005500000003,3590.4005500000003,3593.0987,2.698149999999714
CONVEYOR_DONE,2,after_second_bottle_transfer_to_rotary,4620.0936,4621.2341,4624.13115,4621.961499999999,4620.0936,4624.13115,4.03755000000001
FILLER_DONE,2,after_second_bottle_fill,6168.0107,6166.8893499999995,6166.845,6166.4407,6166.4407,6168.0107,1.569999999999709
TABLE_ALIGNED,3,after_third_confirmed_rotation,6682.2384999999995,6683.9662499999995,6684.382250000001,6684.115,6682.2384999999995,6684.382250000001,2.1437500000010914
TABLE_ALIGNED,5,after_fifth_confirmed_rotation,8913.4915,8908.8613,8915.2802,8909.9263,8908.8613,8915.2802,6.418899999998757
