category,architecture,target,fault_reason,count
BASELINE,CENTRALISED,NONE,NONE,10
BASELINE,CENTRALISED,NONE,TABLE_ALIGNMENT_TIMEOUT,1
BASELINE,DECOMPOSED_3CD,NONE,NONE,10
POST_INJECTION,CENTRALISED,COORDINATOR,TABLE_ALIGNMENT_TIMEOUT,15
POST_INJECTION,DECOMPOSED_3CD,BATCH,TABLE_ALIGNMENT_TIMEOUT,15
POST_INJECTION,DECOMPOSED_3CD,PRODUCTION,TABLE_ALIGNMENT_TIMEOUT,30
POST_INJECTION,DECOMPOSED_3CD,SAFETY,TABLE_ALIGNMENT_TIMEOUT,14
PRE_EVENT,CENTRALISED,COORDINATOR,TABLE_ALIGNMENT_TIMEOUT,32
PRE_EVENT,DECOMPOSED_3CD,BATCH,TABLE_ALIGNMENT_TIMEOUT,25
PRE_EVENT,DECOMPOSED_3CD,PRODUCTION,TABLE_ALIGNMENT_TIMEOUT,27
PRE_EVENT,DECOMPOSED_3CD,SAFETY,TABLE_ALIGNMENT_TIMEOUT,27
