architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
CENTRALISED,COORDINATOR,TABLE_ALIGNED,1,after_first_confirmed_rotation,5,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17061.8995,,11533,0,0,0,21.101521,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_table_aligned_01_rep05.result.txt,
CENTRALISED,COORDINATOR,TABLE_ALIGNED,1,after_first_confirmed_rotation,12,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17059.5178,,11605,0,0,0,20.455247,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_table_aligned_01_rep12.result.txt,
CENTRALISED,COORDINATOR,TABLE_ALIGNED,1,after_first_confirmed_rotation,13,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17062.1755,,11820,0,0,0,21.133109,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_table_aligned_01_rep13.result.txt,
CENTRALISED,COORDINATOR,TABLE_ALIGNED,1,after_first_confirmed_rotation,14,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17066.8619,,11691,0,0,0,19.916329,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_table_aligned_01_rep14.result.txt,
CENTRALISED,COORDINATOR,FILLER_DONE,1,after_first_bottle_fill,12,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17068.8811,,11698,0,0,0,19.526903,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_filler_done_01_rep12.result.txt,
CENTRALISED,COORDINATOR,FILLER_DONE,1,after_first_bottle_fill,13,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17064.3857,,11489,0,0,0,21.147853,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_filler_done_01_rep13.result.txt,
CENTRALISED,COORDINATOR,FILLER_DONE,1,after_first_bottle_fill,15,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17065.5809,,11412,0,0,0,21.235642,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_filler_done_01_rep15.result.txt,
CENTRALISED,COORDINATOR,FILLER_DONE,1,after_first_bottle_fill,19,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17061.2899,,11527,0,0,0,20.652993,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_filler_done_01_rep19.result.txt,
CENTRALISED,COORDINATOR,LID_DONE,1,after_first_bottle_lid,3,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17061.6275,,11513,0,0,0,21.129788,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_lid_done_01_rep03.result.txt,
CENTRALISED,COORDINATOR,LID_DONE,1,after_first_bottle_lid,9,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,19625.7293,,13846,0,0,0,23.193218,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_lid_done_01_rep09.result.txt,
CENTRALISED,COORDINATOR,LID_DONE,1,after_first_bottle_lid,14,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,19630.5906,,13410,0,0,0,22.716276,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_lid_done_01_rep14.result.txt,
CENTRALISED,COORDINATOR,LID_DONE,1,after_first_bottle_lid,15,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17056.7695,,11593,0,0,0,26.149141,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_lid_done_01_rep15.result.txt,
CENTRALISED,COORDINATOR,CAPPER_DONE,1,after_first_bottle_cap,1,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17063.6208,,11720,0,0,0,21.113154,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_capper_done_01_rep01.result.txt,
CENTRALISED,COORDINATOR,CAPPER_DONE,1,after_first_bottle_cap,10,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17062.353,,11431,0,0,0,20.541493,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_capper_done_01_rep10.result.txt,
CENTRALISED,COORDINATOR,CAPPER_DONE,1,after_first_bottle_cap,17,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,500,0.0,17063.4431,,11383,0,0,0,21.677328,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\experiment_runs_event_v4\coordinator_capper_done_01_rep17.result.txt,
