event,occurrence,event_label,reference_target,target,reference_actual_injections,target_actual_injections,reference_failure_probability,target_failure_probability,failure_probability_delta_pp_vs_reference,failure_risk_ratio_vs_reference,reference_success_probability,target_success_probability,success_probability_delta_pp_vs_reference,reference_drained_remaining_median_ms,target_drained_remaining_median_ms,drained_remaining_delta_vs_reference_ms,reference_reachability,target_reachability
BATCH_ACCEPTED,1,after_valid_B2_acceptance,COORDINATOR,BATCH,20,20,0.0,0.05,5.0,,1.0,0.95,-5.000000000000004,14990.7398,10174.9304,-4815.8094,1.0,1.0
BATCH_ACCEPTED,1,after_valid_B2_acceptance,COORDINATOR,PRODUCTION,20,20,0.0,0.25,25.0,,1.0,0.75,-25.0,14990.7398,10675.7631,-4314.976699999999,1.0,1.0
BATCH_ACCEPTED,1,after_valid_B2_acceptance,COORDINATOR,SAFETY,20,20,0.0,0.05,5.0,,1.0,0.95,-5.000000000000004,14990.7398,10198.306799999998,-4792.433000000001,1.0,1.0
LOADER_DONE,1,after_first_bottle_admitted,COORDINATOR,BATCH,20,20,0.05,0.05,0.0,1.0,0.95,0.95,0.0,9616.6409,9150.3533,-466.28759999999966,1.0,1.0
LOADER_DONE,1,after_first_bottle_admitted,COORDINATOR,PRODUCTION,20,20,0.05,0.3,25.0,5.999999999999999,0.95,0.7,-25.0,9616.6409,9639.3948,22.753899999999703,1.0,1.0
LOADER_DONE,1,after_first_bottle_admitted,COORDINATOR,SAFETY,20,20,0.05,0.2,15.000000000000002,4.0,0.95,0.8,-14.999999999999991,9616.6409,9151.855899999999,-464.7850000000017,1.0,1.0
CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,COORDINATOR,BATCH,20,20,0.15,0.15,0.0,1.0,0.85,0.85,0.0,8615.9656,8127.862800000001,-488.10279999999875,1.0,1.0
CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,COORDINATOR,PRODUCTION,20,20,0.15,0.35,20.0,2.3333333333333335,0.85,0.65,-19.999999999999996,8615.9656,8622.5075,6.541900000000169,1.0,1.0
CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,COORDINATOR,SAFETY,20,20,0.15,0.15,0.0,1.0,0.85,0.85,0.0,8615.9656,8132.570600000001,-483.3949999999986,1.0,1.0
TABLE_ALIGNED,1,after_first_confirmed_rotation,COORDINATOR,BATCH,16,19,0.0,0.10526315789473684,10.526315789473683,,1.0,0.8947368421052632,-10.526315789473683,8083.4537,7610.1455,-473.3082000000004,0.8,0.95
