architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17069.6438,,0,11283,11283,11283,20.605471,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10179.0863,,0,6666,6666,6666,12.308592,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10185.1705,,0,6596,6596,6596,11.745042,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,21784.3997,,0,13976,13976,13976,25.673094,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10181.599,,0,6627,6627,6627,11.773928,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10197.5348,,0,6822,6822,6822,12.352021,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10173.3189,,0,6683,6683,6683,11.786895,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,NONE,BASELINE,,,8,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10172.2585,,0,6737,6737,6737,12.325038,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_08.log
DECOMPOSED_3CD,NONE,BASELINE,,,9,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,19649.2991,,0,12964,12964,12964,22.555636,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_09.log
DECOMPOSED_3CD,NONE,BASELINE,,,10,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10196.6546,,0,6705,6705,6705,12.367498,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_10.log
DECOMPOSED_3CD,NONE,BASELINE,,,11,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10185.2937,,0,6715,6715,6715,11.821366,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_11.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_11.log
DECOMPOSED_3CD,NONE,BASELINE,,,12,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10175.3175,,0,6654,6654,6654,12.329835,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_12.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_12.log
DECOMPOSED_3CD,NONE,BASELINE,,,13,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10180.3419,,0,6692,6692,6692,11.812136,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_13.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\baseline_decomposed_3cd_13.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,1,DRAINED,DRAINED,NONE,True,2059.4277,True,True,0.0,500,501.5499,10214.1649,33.19444999999905,0,6637,6637,6637,12.394377,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep01.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,2,DRAINED,DRAINED,NONE,True,2063.5013,True,True,0.0,500,500.1457,10180.8423,-0.12815000000045984,0,6764,6764,6764,11.74931,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep02.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,3,FAULT,FAULT,TABLE_ALIGNMENT_TIMEOUT,True,2056.3931,True,True,0.0,500,500.8372,19633.3563,,0,12603,12603,12603,23.177048,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep03.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,4,DRAINED,DRAINED,NONE,True,2055.4318,True,True,0.0,500,501.0002,10188.7363,7.765849999999773,0,6702,6702,6702,11.766045,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep04.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,5,DRAINED,DRAINED,NONE,True,2056.0649,True,True,0.0,500,501.9395,10181.9625,0.9920499999989261,0,6703,6703,6703,12.314863,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep05.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,6,DRAINED,DRAINED,NONE,True,2060.0056,True,True,0.0,500,501.3133,10198.6233,17.65284999999858,0,6753,6753,6753,11.815816,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep06.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,7,DRAINED,DRAINED,NONE,True,2065.7921,True,True,0.0,500,500.5689,10214.0064,33.0359499999995,0,6444,6444,6444,12.390436,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep07.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,8,DRAINED,DRAINED,NONE,True,2061.5682,True,True,0.0,500,500.5405,10204.2657,23.295249999999214,0,6427,6427,6427,11.984769,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep08.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,9,DRAINED,DRAINED,NONE,True,2061.2269,True,True,0.0,500,500.1947,10200.4975,19.52704999999878,0,6540,6540,6540,12.33752,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep09.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,10,DRAINED,DRAINED,NONE,True,2067.7997,True,True,0.0,500,500.3245,10204.034,23.06354999999894,0,6676,6676,6676,11.779916,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep10.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,11,FAULT,FAULT,TABLE_ALIGNMENT_TIMEOUT,True,2067.3891,True,True,0.0,500,501.7181,17078.3274,,0,11436,11436,11436,20.664692,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep11.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep11.log
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,12,DRAINED,DRAINED,NONE,True,2062.9328,True,True,0.0,500,500.8664,10193.2783,12.307849999999235,0,6791,6791,6791,11.798298,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep12.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_001118_safety\runs\safety_conveyor_done_01_rep12.log
