architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14352.4511,,0,2337,2337,2337,15.786368,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14334.5874,,0,2412,2412,2412,16.485527,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14269.1322,,0,2299,2299,2299,15.697792,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14320.5115,,0,2321,2321,2321,16.48294,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14311.9401,,0,2406,2406,2406,15.707564,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14303.2257,,0,2279,2279,2279,16.475761,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14310.6357,,0,2332,2332,2332,15.709994,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,NONE,BASELINE,,,8,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14330.5573,,0,2424,2424,2424,16.48228,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_08.log
DECOMPOSED_3CD,NONE,BASELINE,,,9,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14306.4499,,0,2381,2381,2381,15.740227,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_09.log
DECOMPOSED_3CD,NONE,BASELINE,,,10,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14284.0128,,0,2363,2363,2363,16.452163,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_113021_production\runs\baseline_decomposed_3cd_10.log
