architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,17105.3372,,0,2499,2499,2499,20.557698,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_01.log
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,FAULT,TIMEOUT_CONVEYOR,False,-1.0,False,False,-1.0,0,0.0,143780.8967,,0,2060,2060,2060,149.213796,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_02.log
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14410.3345,,0,2306,2306,2306,16.176479,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_03.log
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14322.7927,,0,2306,2306,2306,16.64321,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_04.log
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14323.8291,,0,2198,2198,2198,16.070888,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_05.log
DECOMPOSED_3CD,NONE,BASELINE,,,6,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14322.4264,,0,2382,2382,2382,16.551886,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_06.log
DECOMPOSED_3CD,NONE,BASELINE,,,7,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14355.4172,,0,2390,2390,2390,16.069564,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_07.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_07.log
DECOMPOSED_3CD,NONE,BASELINE,,,8,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14344.9547,,0,2306,2306,2306,16.756213,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_08.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_08.log
DECOMPOSED_3CD,NONE,BASELINE,,,9,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14380.3151,,0,2248,2248,2248,16.199973,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_09.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_09.log
DECOMPOSED_3CD,NONE,BASELINE,,,10,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14318.1984,,0,2384,2384,2384,16.541899,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_10.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_10.log
DECOMPOSED_3CD,NONE,BASELINE,,,11,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14279.0296,,0,2292,2292,2292,16.067672,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_11.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_11.log
DECOMPOSED_3CD,NONE,BASELINE,,,12,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,14347.5637,,0,2307,2307,2307,16.644678,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_12.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\baseline_decomposed_3cd_12.log
DECOMPOSED_3CD,ALL3,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,1,DRAINED,DRAINED,NONE,True,2059.3593,True,True,0.0,500,507.0517,14887.4404,553.048499999999,0,2384,2384,2384,16.671091,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep01.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep01.log
DECOMPOSED_3CD,ALL3,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,2,DRAINED,DRAINED,NONE,True,2057.2847,True,True,0.0,500,502.6611,14936.6891,602.2971999999991,0,2362,2362,2362,17.192185,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep02.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep02.log
DECOMPOSED_3CD,ALL3,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,3,DRAINED,DRAINED,NONE,True,2053.4936,True,True,0.0,500,503.1792,14896.3051,561.913199999999,0,2415,2415,2415,16.610309,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep03.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep03.log
DECOMPOSED_3CD,ALL3,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,4,DRAINED,DRAINED,NONE,True,2061.5925,True,True,0.0,500,504.6829,14873.9738,539.5818999999992,0,2311,2311,2311,17.18606,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep04.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep04.log
DECOMPOSED_3CD,ALL3,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,5,DRAINED,DRAINED,NONE,True,2060.1248,True,True,0.0,500,502.2094,14875.842,541.4501,0,2360,2360,2360,16.670668,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep05.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep05.log
DECOMPOSED_3CD,ALL3,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,6,DRAINED,DRAINED,NONE,True,2058.3438,True,True,0.0,500,516.0161,14817.001,482.60909999999967,0,2312,2312,2312,17.104543,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep06.result.txt,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\gui_experiments\improved_3cd\20260916_115454_combined_(all3)\runs\all3_conveyor_done_01_rep06.log
