architecture,target,event,occurrence,event_label,repetition,status,terminal_status,fault_reason,event_matched,event_match_mission_ms,halt_triggered,halt_recovered,halt_start_after_event_ms,requested_duration_ms,actual_down_ms,mission_ms,completion_delta_vs_arch_baseline_median_ms,coordinator_elapsed_ticks,batch_elapsed_ticks,production_elapsed_ticks,safety_elapsed_ticks,wall_seconds,result_file,debug_log
DECOMPOSED_3CD,NONE,BASELINE,,,1,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,19641.2503,,0,13061,13061,13061,23.510599,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\baseline_decomposed_3cd_01.result.txt,
DECOMPOSED_3CD,NONE,BASELINE,,,2,EVENT_NOT_REACHED,FAULT,TABLE_ALIGNMENT_TIMEOUT,False,-1.0,False,False,-1.0,0,0.0,19641.0876,,0,13178,13178,13178,23.535517,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\baseline_decomposed_3cd_02.result.txt,
DECOMPOSED_3CD,NONE,BASELINE,,,3,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10265.6885,,0,6738,6738,6738,12.182936,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\baseline_decomposed_3cd_03.result.txt,
DECOMPOSED_3CD,NONE,BASELINE,,,4,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10197.2785,,0,6812,6812,6812,12.708534,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\baseline_decomposed_3cd_04.result.txt,
DECOMPOSED_3CD,NONE,BASELINE,,,5,EVENT_NOT_REACHED,DRAINED,NONE,False,-1.0,False,False,-1.0,0,0.0,10214.1971,,0,6816,6816,6816,12.015619,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\baseline_decomposed_3cd_05.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,1,DRAINED,DRAINED,NONE,True,2065.9499,True,True,0.0,500,501.2013,10691.0274,476.83030000000144,0,7122,7122,7122,13.191486,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep01.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,2,DRAINED,DRAINED,NONE,True,2062.7481,True,True,0.0,500,501.8162,10695.4915,481.2944000000007,0,7211,7211,7211,12.51851,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep02.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,3,DRAINED,DRAINED,NONE,True,2066.2997,True,True,0.0,500,500.8446,10707.1908,492.9937000000009,0,7157,7157,7157,13.216902,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep03.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,4,DRAINED,DRAINED,NONE,True,2068.0018,True,True,0.0,500,500.1936,10701.1683,486.97119999999995,0,7062,7062,7062,12.495296,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep04.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,5,FAULT,FAULT,TABLE_ALIGNMENT_TIMEOUT,True,2069.0734,True,True,0.0,500,501.49,17580.5415,,0,10954,10954,10954,21.519958,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep05.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,6,DRAINED,DRAINED,NONE,True,2067.9842,True,True,0.0,500,500.4773,10720.4845,506.28740000000107,0,7000,7000,7000,12.612824,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep06.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,7,FAULT,FAULT,TABLE_ALIGNMENT_TIMEOUT,True,2064.9048,True,True,0.0,500,500.7719,17613.3401,,0,8939,8939,8939,21.100972,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep07.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,8,DRAINED,DRAINED,NONE,True,2178.3001,True,True,0.0,500,515.6984,15195.889,4981.6919,0,1941,1941,1941,17.304009,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep08.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,9,DRAINED,DRAINED,NONE,True,2176.2273,True,True,0.0,500,514.5848,15064.8657,4850.668600000001,0,1893,1893,1893,17.873978,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep09.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,10,DRAINED,DRAINED,NONE,True,2182.0906,True,True,0.0,500,500.5608,14104.6586,3890.4615000000013,0,1946,1946,1946,16.231406,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep10.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,11,FAULT,FAULT,TABLE_ALIGNMENT_TIMEOUT,True,2071.5383,True,True,0.0,500,500.6977,23908.6767,,0,15365,15365,15365,28.140049,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep11.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,12,DRAINED,DRAINED,NONE,True,2067.1187,True,True,0.0,500,500.624,10716.027,501.82990000000063,0,6982,6982,6982,12.605641,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep12.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,13,DRAINED,DRAINED,NONE,True,2076.7031,True,True,0.0,500,500.6292,10725.3134,511.1162999999997,0,7157,7157,7157,13.213677,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep13.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,14,DRAINED,DRAINED,NONE,True,2064.1674,True,True,0.0,500,500.816,10698.8151,484.6180000000004,0,7203,7203,7203,12.651255,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep14.result.txt,
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,15,DRAINED,DRAINED,NONE,True,2068.3241,True,True,0.0,500,500.0745,10731.6383,517.4412000000011,0,7024,7024,7024,13.263279,C:\Users\cta10\OneDrive\Desktop\part4\704\704GP1\Integration\Zhiyuan\trace_production_conveyor1_runs\production_conveyor_done_01_rep15.result.txt,
